id,name,addr,city,ctry,code
1,1 MOBILE LIMITED,30 CITY ROAD,LONDON,UK,EC1Y 2AB
1,1 MOB LIM,30 CTY ROAD,LONDON,,EC1Y 2AB
1,1 MOBILE Ltd,CITY ROAD,LONDON,UK,EC1Y 2AB
1,MOBILE LIM,30 CTY RD,LONDON,,EC1Y
1,6 MOBILE LIMITED,30 CITY ROAD,LONDON,UK,
1,1 MOBLE LIMITED,301 CITY RD,LON,UK,
2,1 TECHnology LimiTeD,570 CHARTERHOUSE STRT,LONDON,UK,EC1M 6HA
2,1 TECH LTD,57 CHARTERHOUSE STREET,LONDON,United Kingdom,EC1M A
2,1 TECH LTD,57 CHARTERHOUSE STREET,LONDON,United K,EC1M 6HA
2,1 TECH Limited,57 CHARTERHSE STREET,LONDON,U Kingdom,EC1M 6HA
2,1 TECHnology LTD,57 CHARTERHOUSE STREET,LONDON,UK,EC1M 6HA
2,30 TECH LTD,57 CHARTERHOUSE STREET,LONDON,UK,EC1M 6HA
2,1 TECH LTD,5723 CHARTERHOUSE ST,LONDON,UK,EC1M 6HA
3,23 SNAPShot LIMITED,16 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
3,THE SNAPS LIMITED,16 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
3,23 SNAPS LTD,19 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
3,23 SNAPS LIM,16 BOWLING GRN LANE,LONDON,UK,EC1R 0BD
3,230 SNAPS LTD,16 BOWLING GREEN LN,LONDON,UK,EC1R 
3,23 SNAP LIMITED,16 BOWLING LANE,LONDON,UK,EC1R 0BD
3,23 SNAPS LIMITED,16 GREEN LANE,LONDON,UK,EC1R 0BD
4,2E2 SERVICES LIMITED,200  ALDERSGATE ALDERSGATE STREET,LONDON,,EC1A 4HD
4,2E2 SERVICES LIMITED,ALDERSGATE  STREET,LONDON,UK,EC1A 4HD
4,SERVICES LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
4,2E2 LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
4,2E2 SERVICES LTD,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
4,2E2 SERV LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
5,2E2 UK LIMITED,200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
6,40 50 MEDIA INC,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
7,DATA CENTRES LIMITED,30 CITY ROAD,LONDON,UK,EC1 2AB
7,DDD DATA CENTRES LIMITED,30 CITY ROAD,LONDON,UK,EC1 2AB
7,DATA CENTRES LIMITED,,LONDON,UK,EC1 2AB
8,4 GET MOBILE LIM,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
9,4 CONSULTING LIMITED,4 SNOW,LONDON,UK, 
10,4TC SERVICES LIMITED,355 GOSWELL ROAD ,LONDON,UK,EC1V 7JL
11,A INF LIMITED,"AKIN PALMER LLP 3, ANGEL GATE 326 CITY ROAD",LONDON,UK,EC1V 2PT
12,A TEch SOLUTIONS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
13,AI TALENT LTD,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
14,AAA CONSULT LTD,145-157 ST. JOHN STREET,LONDON,UK,EC1V 4PY
14,A CONSULT LTD,2ND FLOOR 145-157 SAINT JOHN ST,LONDON,UK,EC1V 4PY
14,Triple A CONSULT LTD,145 ST. JOHN STREET,LONDON,UK,EC1V 4PY
15,"""AARDVARK"" UPRISING LIMITED",UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
16,ABS TECH LTD,INTERNATIONAL HSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
17,ABLINX LIMITED,16 The SAINT MARTIN LE GRAND,LONDON,UK,EC1A 4EE
18,ABSU LTD.,111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
19,ABV. SOLUTION LTD.,C.O. CAYOS CONSULTING SERVICES ON BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
20,ACTION FR FUTURE LTD,146 ST JOHN STREET ,LONDON,UK,EC1V 4PW
21,ACTIVe THINK LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
22,THE ACTIVON PROJECT LIMITED,INTERNATIONAL HOUSE,CITY OF LONDON|LONDON,UK,EC1A 2BN
23,ACTURIS CORP.,COURTYARD SUITE 100 HATTON GARDEN,LONDON,UK,EC1N 8NX
24,DR PEPPER MEDIA UK LIMITED,20 FARRINGDON ROAD ,LONDON,UK,EC1M 3HE
25,ADCOMPASS LTD.,7 SYCAMORE STREET ,LONDON,UK,
26,ADD to CRT LTD.,145 or 157 SainT JOHN STREET ,LONDON,UK,EC1V 4PW
27,ADFOR LONDON LTD,GATE HOUS 2 ST JOHN SQUARE,LONDON,UK,EC1M 4DH
28,ADLUDI LIMITE,1 HARDWIC STREE HARDWIC STREE,LONDON,UK,EC1R 4RB
29,AFINinty IT GROUP LIMITE,KEMP HOUSE 160 CITY ROAD,LONDON,Unite Kingdom,EC1V 2NX
30,AFTER FLOOD LIMITED,141 ST. JOHN ST.,LONDON,UK,EC1V 4UB
31,AGILE Methods ALLIANCE LTD,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
32,AGM SOLUTIONS LIMITED,152 KEMP HOUSE CTY RD,LONDN,UK,EC1V
33,AGOC DIGI PRVT LIMITED,160 CITY ROAD,LONDON,UK,EC1V 2NX
34,Artificial Intelligence CONTROLPOINT LIMITED,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
35,AIMing ITC LTD.,88 HATTON GARDEN,LONDON,UK,EC1N 8PG
36,ALCHEMYWORK LTD,KEMP HOUSE,LONDON,UK,EC1V 2NX
37,ALCHERA TECH LIMITED,24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
38,ALMARA LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
39,ALTIASERVICES LTD.,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
40,ALTIATECH LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
41,AM TECHNICAL LIMITED,DEVONSHIRE,LONDON,UK,EC1M 7AD
42,AMBIENCE INVESTMENT LTD,JOHN STREET ,LONDON,UK,EC1V 4PW
43,AMISSION LTD,,LONDON,UK,EC1V 1LJ
44,AMLEU SOFTWARE DEVELOPMENT UK LIMITED,1 CHARTERHOUSE MEW,LONDON,UK,EC1M 6BB
45,ANGELLIST LIMIT,The 2ND FLOOR of WHITE BEAR YARD,LONDON,UK,EC1R 5DF
46,ANGLO PAK SOLUTION LTD,KEMP HOUSE 152 CITY ROAD,LONDON,Unite K,EC1V 2NX
47,ANOMALIES inc,123 ALDERSGATE STREET ,LONDON,UK,EC1A 4JQ
48,ANVIL RECRUITE LIMITED,KEMP HOUSE 152 CITY,LONDON,UK,EC1V 2NX
49,APPLication ALACARTE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
50,APPDRAGON LIMITED,KEMP HOUSE 152 CITY ROAD,,UK,
51,ARCHON DEVELOPMENT UK LTD,SUITE A 6 HONDURAS STREET,,,
52,ARCTOUS LIMITED,KEMP HOUSE 152 CITY ROAD,,,
53,ARCTREE CONSULTING LIMITED,BAKER'S ROW,LONDON,UK,EC1R 3DB
54,AREZA LIMITED,24 HOLBORN VIADUCT ,LONDON,USA,EC1A 2BN
55,ARGUS INTELLIGENCE LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,AMERICA,EC1V 2NX
56,ARKA ASSOCIATES LIMITED,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,AFRICA,EC1A 2BN
57,ARROW DIGITAL MEDIA,KEMP HOUSE 1680 CITY ROAD,LONDON,UK,EC1V 2NX
58,ARTANEON LimiTeD,98 HATTON GARDEN,LONDON,UK,EC1N 8PG
59,ARTESAN STUDIOS LIMITED,67A FARRINGDON ROAD,LONDON,UK,EC1M 3JB
60,ARTLINE MEDIA LIMITED!!!###,DEVONSHRE HOSE 6989 GOSWELL ROAD,LONDON,UK,EC1M 7AD
61,ARUBACLOWWD LIMITED...,17-18 AYLESBURY STREET ,LONDON,UK,EC1R 0DB
62,ASITY LTD.,NATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
63,ASSERT MEDIA SOLUTIOS LTD,INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
64,ASSET ICT LTD,OFFICE 36 ,LONDON,UK,EC1N 8PN
65,ATRI SERVICES LTD,KEMP HOUSE 152,LONDON,,
66,ATICMEDIA LTD,WESTBURY 145 ST JOHN STREET,LONDON,UK,EC1V 4PY
67,AUD         EZA LTD,KEMP HOUSE 15 2 CITY ROAD,LON DON,UK,EC1V 2NX
68,AVENIR TECHNOLOGY LIMITED,SUITE A ,LONDON,UK,EC1Y 0TH
69,AY IMA LTD,1 LINDSEY STREET,LONDON,UK,EC1A 9HP
70,AYSCIO LTD,150 ST JOHN STREET ,LONDON,UK,EC1V 4PW
71,AZURO LIMITED,KEMP HOUSE 152-160 CITY RD,LONDON,UK,EC1V 2NX
72,BABY BEAUT GRP LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
73,BACKUP RUNNING PLC,LONGBOW HSE CHISWELL ST,LONDON,UK,EC1Y 4TW
74,BCSG LTD,130 OLD STREET ,LONDON,UK,EC1V 9BD
75,BEDBUG STUDIO LTD,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
76,BEDROOM LONDON LIMITED,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD